0	34	44	41	1	32	5	15	15	40	41	16	1	18	3	40	10	16	34	43	41	44	17	1	19	24	36	45	15	21	46	40	50	28	15	7	18	34	5	23	43	18	39	31	27	9	38	44	39	1	23	48	27	11	19	15	43	7	11	30	37	47	33	19	1	34	4	16	12	24	2	11	43	30	21	21	27	11	21	19	8	48	2	3	30	39	19	32	41	36	20	50	10	19	9	11	31	26	23	10	40	16	3	38	33	7	2	21	49	50	46	45	31	13	4	22	25	30	28	47	5	25	50	46	29	28	37	12	20	30	21	3	23	48	48	22	37	19	31	15	18	24	32	20	28	10	11	34	26	42	10	43	49	17	1	21	39	34	6	37	40	33	17	47	24	32	23	37	1	28	24	18	11	1	39	3	47	49	24	34	23	17	41	30	20	16	11	37	9	19	42	20	23	40	9	6	18	28	14	34	
NA	0	48	33	47	5	13	32	18	16	2	36	3	28	42	31	33	33	30	3	44	14	36	33	7	45	10	16	50	15	14	11	1	43	8	4	26	12	10	27	21	44	49	9	44	35	3	41	50	22	2	32	41	23	40	49	30	8	48	19	41	27	36	46	24	48	38	35	5	31	11	47	44	30	41	20	48	34	44	23	14	8	41	15	18	19	30	40	19	8	45	13	35	2	16	10	6	7	45	42	36	14	11	14	5	32	11	3	40	31	14	43	13	22	40	41	39	5	45	36	47	49	12	12	29	48	26	19	19	47	11	19	44	33	36	30	19	26	4	37	19	10	30	37	16	32	19	8	27	45	34	35	4	26	22	20	17	3	26	17	25	11	38	24	10	36	3	30	20	37	32	7	12	17	50	5	17	19	31	42	48	29	37	8	39	12	42	17	2	26	33	11	11	32	8	27	45	33	50	28	
NA	NA	0	13	26	43	30	44	29	2	27	16	3	44	14	26	9	9	12	23	14	47	18	35	37	13	33	4	18	7	3	24	32	23	50	20	32	24	35	19	32	12	49	11	33	24	20	50	40	36	22	8	26	50	29	49	22	4	27	27	32	46	27	33	50	24	22	5	13	34	18	7	10	8	42	32	38	31	17	44	11	29	19	7	38	17	38	28	26	12	13	22	50	4	49	21	21	14	28	36	50	13	45	38	45	6	49	24	45	43	37	39	50	46	42	6	38	44	10	8	35	46	44	23	14	43	27	36	28	46	38	10	50	5	12	5	21	39	22	39	6	12	41	24	31	23	24	11	19	22	2	29	35	5	17	20	17	37	33	36	32	30	4	26	35	9	45	25	44	17	7	34	36	20	6	37	8	38	11	31	22	7	42	2	20	34	6	34	25	20	30	34	43	2	22	47	14	41	37	16	
NA	NA	NA	0	32	25	30	2	47	22	13	33	44	22	14	11	28	33	39	37	47	1	32	31	25	11	24	10	1	33	21	18	17	2	15	33	37	38	5	41	28	37	21	30	12	20	44	24	40	45	22	41	47	46	31	10	6	10	22	35	41	23	43	49	45	49	5	3	32	45	14	30	3	42	50	32	17	44	37	25	34	21	34	3	12	5	20	37	44	33	11	16	38	9	3	43	7	36	5	5	12	16	35	10	40	24	48	6	42	11	6	24	45	36	4	42	18	48	44	1	39	21	43	10	33	4	49	13	21	31	22	11	14	48	32	11	47	32	31	45	19	7	29	36	11	31	7	3	45	43	27	13	47	23	33	18	1	18	4	13	22	25	1	19	10	5	40	46	2	7	44	31	30	31	2	28	16	38	8	12	30	41	37	17	7	18	6	17	41	9	29	24	32	37	33	21	47	40	46	15	
NA	NA	NA	NA	0	15	6	42	29	44	11	3	37	48	26	35	46	39	40	24	20	37	30	18	30	2	30	1	29	1	26	32	14	23	3	34	48	5	27	32	30	48	6	50	14	34	3	29	22	29	9	9	35	36	37	35	44	25	32	13	23	42	42	8	30	16	38	27	23	34	49	32	10	35	27	28	44	39	5	11	18	4	6	48	11	21	43	44	43	18	48	9	9	7	21	47	15	40	40	48	29	30	32	44	22	6	13	5	12	35	14	10	47	39	8	22	25	32	17	39	34	46	45	27	12	5	11	31	44	8	7	29	31	32	20	35	22	26	3	28	47	43	42	27	9	15	5	8	16	4	47	34	25	8	23	21	20	28	19	26	3	36	17	23	20	41	3	16	25	15	22	47	44	39	24	6	31	37	2	21	7	22	47	9	46	34	46	35	46	9	25	9	37	49	37	29	35	24	25	47	
NA	NA	NA	NA	NA	0	3	11	33	12	6	30	37	11	19	35	15	13	40	39	20	12	3	48	24	13	10	42	48	50	1	2	17	32	13	19	43	43	45	42	29	6	45	33	45	6	34	28	30	25	39	13	3	11	12	11	11	48	9	31	10	33	36	7	26	3	28	37	8	39	32	9	45	50	35	25	2	47	21	46	5	21	49	10	22	11	21	29	17	10	8	16	21	20	29	8	30	17	12	36	3	26	36	19	13	33	9	3	2	19	22	12	20	7	3	1	8	12	32	24	44	20	1	42	10	13	33	4	36	33	40	37	43	18	32	42	5	44	2	11	18	18	15	24	31	7	8	42	36	50	39	22	10	50	47	24	2	40	37	45	22	5	18	11	42	27	35	7	29	40	10	44	46	46	25	4	34	8	36	4	43	33	39	42	35	13	38	44	21	33	7	17	10	24	26	22	5	9	23	30	
NA	NA	NA	NA	NA	NA	0	12	36	8	1	5	50	19	36	46	9	12	43	33	37	29	21	33	8	29	47	25	22	8	32	7	17	6	3	34	1	7	49	29	40	50	39	18	36	16	36	14	5	20	19	44	21	34	14	9	31	35	18	43	5	50	3	44	17	1	7	46	35	21	15	24	34	32	50	24	44	4	32	15	14	7	46	5	13	21	7	41	17	8	27	32	33	1	34	15	5	26	30	32	38	3	1	10	33	29	28	6	28	4	49	13	6	28	31	29	15	29	16	34	5	7	12	29	37	4	33	49	31	39	37	18	35	47	22	39	41	4	22	2	17	18	13	24	31	36	49	47	48	3	17	16	39	50	20	5	42	41	47	23	1	14	45	49	45	24	39	7	13	11	1	3	47	36	24	50	5	6	22	27	22	30	5	9	28	1	4	20	45	26	21	23	20	8	24	24	7	6	42	24	
NA	NA	NA	NA	NA	NA	NA	0	7	35	16	6	34	22	26	40	2	20	45	9	9	8	33	45	4	27	35	43	38	18	11	41	50	39	12	21	49	46	10	24	21	36	20	35	24	38	20	47	9	28	9	11	31	27	25	43	26	28	48	29	9	27	27	41	2	28	20	3	20	23	29	40	26	45	23	21	49	4	8	42	9	17	16	30	46	19	2	45	32	4	7	15	11	21	22	21	29	43	19	17	16	29	36	15	20	19	43	22	37	34	39	2	18	29	15	29	35	10	21	10	39	37	18	50	3	46	44	3	15	12	27	16	44	16	27	45	22	4	50	8	29	30	25	29	34	5	1	23	19	40	2	46	5	8	11	26	30	7	45	41	40	34	39	38	22	24	28	46	40	32	43	19	30	45	34	27	31	26	42	44	27	5	31	18	32	26	24	11	24	28	25	49	8	15	27	41	11	39	33	19	
NA	NA	NA	NA	NA	NA	NA	NA	0	28	22	7	31	19	39	24	40	38	33	19	42	49	28	24	9	25	14	4	6	46	4	16	6	10	33	47	27	18	28	43	6	21	11	9	12	29	12	10	20	25	26	37	28	10	36	32	23	24	15	15	46	5	17	37	28	14	37	30	45	32	2	39	40	17	3	47	42	15	34	1	19	4	33	13	3	23	21	11	46	16	40	22	14	44	8	27	32	28	13	36	46	1	23	25	49	31	20	13	46	9	8	13	35	6	15	37	41	4	11	20	7	22	14	11	23	7	25	44	18	45	34	28	39	42	9	11	11	18	43	25	36	1	19	2	12	7	42	2	15	11	46	9	14	30	13	12	46	18	39	42	8	8	19	27	23	44	47	48	17	50	7	41	17	7	15	24	41	48	29	27	40	3	38	42	28	15	17	29	15	16	28	26	6	30	21	8	39	15	14	9	
NA	NA	NA	NA	NA	NA	NA	NA	NA	0	11	9	23	32	16	21	43	24	30	38	21	43	18	48	30	23	30	17	38	14	42	40	8	28	40	2	28	16	12	14	32	24	4	29	14	16	16	39	12	10	6	14	4	47	14	8	3	16	18	20	12	40	35	45	6	15	11	35	22	45	50	14	3	1	16	33	27	5	34	14	37	2	11	44	5	10	23	25	11	34	30	32	2	5	38	10	42	37	47	4	11	17	45	45	45	33	4	29	35	5	15	18	27	28	24	35	32	22	29	13	25	44	22	34	14	10	7	37	16	3	18	32	42	44	19	21	48	7	11	14	9	19	16	20	49	47	28	31	44	35	44	38	33	21	47	3	11	44	24	23	23	33	49	18	42	47	42	50	17	10	45	44	26	33	21	34	47	6	4	25	29	10	34	24	42	17	42	2	9	25	18	15	20	26	6	39	40	2	33	48	
